GET http://localhost/ name=http://localhost/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=0 len=0 notes=1 sig=0x6b599831
GET http://localhost:4200/ name=http://localhost:4200/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=621 notes=3 sig=0xea7f94df
GET http://localhost:4200/__webpack_dev_server__/ name=__webpack_dev_server__ type=dir linked=yes browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=162 notes=1 sig=0x6b5a9834
GET http://localhost:4200/__webpack_dev_server__/live.bundle.js/ name=live.bundle.js type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=150347 notes=4 sig=0xf7bc540d
GET http://localhost:4200/__webpack_dev_server__/ name=__webpack_dev_server__ type=dir linked=yes browsers=4 browser_used=FFOX dup=0 returns_404 code=404 len=162 notes=1 sig=0x9ce2774a
GET http://localhost:4200/__webpack_dev_server__/ name=__webpack_dev_server__ type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=162 notes=1 sig=0x9ce2774a
GET http://localhost:4200/ansi-html/ name=ansi-html type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=149 notes=1 sig=0x4a56da00
GET http://localhost:4200/ansi-html/index.js name=index.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=157 notes=0 sig=0xffdfffff
GET http://localhost:4200/ansi-html/ name=ansi-html type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=149 notes=1 sig=0x9ce2774a
GET http://localhost:4200/ansi-html/ name=ansi-html type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=149 notes=1 sig=0x9ce2774a
GET http://localhost:4200/ansi-regex/ name=ansi-regex type=dir linked=maybe browsers=6 browser_used=FAST dup=1 returns_404 code=404 len=150 notes=1 sig=0x4a56da00
GET http://localhost:4200/ansi-regex/index.js name=index.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=158 notes=0 sig=0xffdfffff
